id,type,name,player_type,player_type_label,bot_style,bot_style_label,market_focus,algo_pattern,algo_label,capital,capital_label,aggressiveness,patience,sector_bias,defense_threshold,news_sensitivity,trade_frequency,stock_max_pct,bond_max_pct,derivative_max_pct,cash_min_pct,bond_grade,derivative_purpose,stock_style,bond_style,derivative_style,rationale,description
LP-KR-01,LP,국민연금공단,PENSION,연기금,PASSIVE,패시브,DOMESTIC,DEFENDER,하락장 방어형,1000000000000000,1000조,0.32,0.86,,3.8,0.23,0.20,63,29.4,3.5,5.4,우량채권 (투자등급),헷징 (위험 회피),대형 우량주·블루칩 중심. 장기 보유. 시장 하락 시 저가 매수로 비중 확대.,정부채·AAA급 우량 회사채만 매입. 신용등급 투자급 이하 불매.,헷징 목적만. 주식 포지션 보호용 풋옵션·선물 매도. 투기적 포지션 금지.,국민/공무원 연금 자금은 원본 손실이 곧 사회적 문제. 원본 보전이 최우선이므로 가장 보수적으로 운용. 파생상품은 순수 헷징 용도로만 제한.,가장 막강한 자금력. 장기 가치 투자. 하락장에서 저가 매수로 증시 방어. 묵직하게 우량주 바닥 지지.
LP-KR-02,LP,한국투자증권 프랍,SECURITIES,금융투자,ACTIVE,액티브,DOMESTIC,SCALPER,스캘핑형,150000000000000,150조,0.68,0.14,,99.0,0.54,0.95,36.2,12.5,37.6,8.3,혼합 (우량+일부 고수익),차익거래 (가격 왜곡 이용),단기 스윙·알고리즘 매매. 포지션 보유 시간 짧음. 차익·통계적 차익 기회 포착.,단기 채권·CD·RP 활용. 유동성 확보 목적. 등급은 혼합 (차익 기회가 있으면 투자급 이하도 일부).,"차익거래·통계적 차익 주력. 선물-현물 베이시스, 옵션 변동성 차익. 방향성 베팅보다 가격 왜곡 이용.",증권사 자기자금(프랍)은 분기 수익이 평가되므로 단기 성과 압박. 방향성 베팅보다 차익/알고리즘으로 안정적 수익 추구. 파생상품 비율이 높지만 투기가 아닌 차익 목적.,증권사 자기자금 직접 매매. 단기 차익·알고리즘 매매. 호가창 빈 공간을 초단타로 채우고 빠짐.
LP-KR-03,LP,미래에셋자산운용,INVESTMENT_TRUST,투신,ACTIVE,액티브,DOMESTIC,TREND_CHASER,트렌드 추종형,300000000000000,300조,0.81,0.33,반도체,99.0,0.94,0.80,78.3,12.8,8.1,5,우량채권 (투자등급),헷징 (위험 회피),주도주·성장주 적극 추종. 펀드 벤치마크 초과 수익(Alpha) 추구. 섹터 로테이션 적극 활용.,투자등급(A- 이상) 회사채·국채. 펀드 안전자산 비중용. 정크본드 불매.,주로 헷징. 일부 ETF 선물로 섹터 비중 조정. 투기적 숏 포지션은 제한적.,펀드 수익률이 벤치마크(코스피/S&P500)를 이겨야 고객 자금이 유입됨. 따라서 주도주 추종이 핵심. 하지만 원본 손실 시 환매 급증 위험으로 파생상품은 헷징 위주로 제한.,펀드 수익률 벤치마크 초과 달성 목표. 주도주 트렌드 적극 추종. 호재 시 가장 공격적으로 매수 호가 올림.
LP-KR-04,LP,삼성생명 보험운용,INSURANCE_BANK,보험/은행,PASSIVE,패시브,DOMESTIC,VALUE_HOLDER,가치 보유형,200000000000000,200조,0.16,0.94,금융,6.1,0.10,0.10,21.9,66,5,11.3,우량채권 (투자등급),헷징 (위험 회피),배당주·대형 우량주만. 시세 차익 추구 불가. 규제상 주식 비중 제한. K-ICS·솔벤시 규제 준수.,가장 보수적. 국채·AAA급 우량 회사채만. 만기 매칭(ALM) 원칙. 정크본드 절대 불매.,"순수 헷징. 이자율 변동 헷징(IR 스왑), 주식 하락 헷징(풋옵션). 투기적 포지션 규제상 금지.","보험료·예금은 고객에게 반드시 돌려주어야 할 돈. 규제(K-ICS, 솔벤시, 바젤)가 주식/파생상품 비중을 엄격히 제한. 원본 보전 + 규제 준수가 최우선이므로 채권 비중이 압도적으로 높음.",보험료 운용. 가장 보수적. 시세 차익보다 배당금·우량주 중심. 거래 빈도 매우 낮음.
LP-KR-05,LP,신한 사모펀드,PE_HEDGE,사모펀드,ACTIVE,액티브,DOMESTIC,MOMENTUM,모멘텀 가속형,100000000000000,100조,0.94,0.20,,99.0,0.93,0.85,45.5,9.3,42.3,9.8,고수익채 (정크본드),투기 (방향성 베팅),롱숏 전략. 강세주 매수·약세주 공매도. 모멘텀 타기. 레버리지 활용. 변동성이 수익의 원천.,고수익채(정크본드·딜런스드 디스트레스드 채권) 매입. 부도 위험이 높지만 수익률도 높은 채권 선호. 일부 헷징용 CDS 보유.,공격적 투기. 레버리지 옵션·크레딧 디폴트 스왑(CDS). 방향성 베팅 적극. 숏 선물로 하락 베팅. 변동성 매매(VIX)도 활용.,"헤지펀드는 절대 수익(Absolute Return)이 유일한 목표. 벤치마크 없음. 고객이 위험을 감수할 각오가 되어 있으므로 파생상품·정크본드 비율이 가장 높음. 단, 리스크 관리를 위해 일부 헷징은 병행.",절대 수익 추구. 롱숏 전략·공매도·모멘텀 투자. 가장 공격적이고 변동성 큰 매매.
LP-OS-01,LP,Vanguard Index Funds,PENSION,연기금,PASSIVE,패시브,OVERSEAS,INDEX_TRACKER,인덱스 추종형,10000000000000000,1.0경,0.43,0.78,,99.0,0.24,0.30,65,25.5,3.4,4.9,우량채권 (투자등급),헷징 (위험 회피),대형 우량주·블루칩 중심. 장기 보유. 시장 하락 시 저가 매수로 비중 확대.,정부채·AAA급 우량 회사채만 매입. 신용등급 투자급 이하 불매.,헷징 목적만. 주식 포지션 보호용 풋옵션·선물 매도. 투기적 포지션 금지.,국민/공무원 연금 자금은 원본 손실이 곧 사회적 문제. 원본 보전이 최우선이므로 가장 보수적으로 운용. 파생상품은 순수 헷징 용도로만 제한.,세계 최대 인덱스 펀드. 시장 지수를 기계적으로 추종. 개별 종목 호/악재보다 전체 자금 흐름에 따라 비중 조정.
LP-OS-02,LP,BlackRock iShares,PENSION,연기금,PASSIVE,패시브,OVERSEAS,INDEX_TRACKER,인덱스 추종형,9000000000000000,9000조,0.44,0.78,,99.0,0.22,0.30,67.7,28.3,2.2,5.4,우량채권 (투자등급),헷징 (위험 회피),대형 우량주·블루칩 중심. 장기 보유. 시장 하락 시 저가 매수로 비중 확대.,정부채·AAA급 우량 회사채만 매입. 신용등급 투자급 이하 불매.,헷징 목적만. 주식 포지션 보호용 풋옵션·선물 매도. 투기적 포지션 금지.,국민/공무원 연금 자금은 원본 손실이 곧 사회적 문제. 원본 보전이 최우선이므로 가장 보수적으로 운용. 파생상품은 순수 헷징 용도로만 제한.,세계 2대 자산운용사. ETF 중심. 보수적 인덱스 추종. 자금이 막대하지만 매매 빈도 낮음.
LP-OS-03,LP,State Street Global Advisors,PENSION,연기금,PASSIVE,패시브,OVERSEAS,INDEX_TRACKER,인덱스 추종형,7000000000000000,7000조,0.34,0.82,,99.0,0.20,0.30,65.4,30.4,2.8,4.8,우량채권 (투자등급),헷징 (위험 회피),대형 우량주·블루칩 중심. 장기 보유. 시장 하락 시 저가 매수로 비중 확대.,정부채·AAA급 우량 회사채만 매입. 신용등급 투자급 이하 불매.,헷징 목적만. 주식 포지션 보호용 풋옵션·선물 매도. 투기적 포지션 금지.,국민/공무원 연금 자금은 원본 손실이 곧 사회적 문제. 원본 보전이 최우선이므로 가장 보수적으로 운용. 파생상품은 순수 헷징 용도로만 제한.,세계 3대 자산운용사. SPDR ETF 운용. 기계적 인덱스 추종.
LP-OS-04,LP,Fidelity Investments,INVESTMENT_TRUST,투신,PASSIVE,패시브,OVERSEAS,INDEX_TRACKER,인덱스 추종형,5000000000000000,5000조,0.37,0.71,,99.0,0.19,0.30,80.8,12.8,8.6,6.5,우량채권 (투자등급),헷징 (위험 회피),주도주·성장주 적극 추종. 펀드 벤치마크 초과 수익(Alpha) 추구. 섹터 로테이션 적극 활용.,투자등급(A- 이상) 회사채·국채. 펀드 안전자산 비중용. 정크본드 불매.,주로 헷징. 일부 ETF 선물로 섹터 비중 조정. 투기적 숏 포지션은 제한적.,펀드 수익률이 벤치마크(코스피/S&P500)를 이겨야 고객 자금이 유입됨. 따라서 주도주 추종이 핵심. 하지만 원본 손실 시 환매 급증 위험으로 파생상품은 헷징 위주로 제한.,대형 운용사. 인덱스 펀드 + 일부 액티브 운용. 보수적 성향.
LP-OS-05,LP,CalPERS (캘리포니아 공무원연금),PENSION,연기금,PASSIVE,패시브,OVERSEAS,DEFENDER,하락장 방어형,3000000000000000,3000조,0.34,0.94,,3.2,0.30,0.20,65.6,26.9,3.2,5.5,우량채권 (투자등급),헷징 (위험 회피),대형 우량주·블루칩 중심. 장기 보유. 시장 하락 시 저가 매수로 비중 확대.,정부채·AAA급 우량 회사채만 매입. 신용등급 투자급 이하 불매.,헷징 목적만. 주식 포지션 보호용 풋옵션·선물 매도. 투기적 포지션 금지.,국민/공무원 연금 자금은 원본 손실이 곧 사회적 문제. 원본 보전이 최우선이므로 가장 보수적으로 운용. 파생상품은 순수 헷징 용도로만 제한.,미국 최대 공무원 연기금. 장기 가치 투자. 하락장 방어.
LP-OS-06,LP,GPIF (일본 정부연금),PENSION,연기금,PASSIVE,패시브,OVERSEAS,DEFENDER,하락장 방어형,2500000000000000,2500조,0.22,0.91,,3.5,0.21,0.20,63.9,31,3.3,5.1,우량채권 (투자등급),헷징 (위험 회피),대형 우량주·블루칩 중심. 장기 보유. 시장 하락 시 저가 매수로 비중 확대.,정부채·AAA급 우량 회사채만 매입. 신용등급 투자급 이하 불매.,헷징 목적만. 주식 포지션 보호용 풋옵션·선물 매도. 투기적 포지션 금지.,국민/공무원 연금 자금은 원본 손실이 곧 사회적 문제. 원본 보전이 최우선이므로 가장 보수적으로 운용. 파생상품은 순수 헷징 용도로만 제한.,세계 최대 연기금. 장기 보수적 운용. 하락장 바닥 지지.
